threshold_c,n_days,start_date,end_date,reference_lon_360,reference_lat,reference_resultant_length,mean_area_km2,mean_area_million_km2,median_area_km2,median_area_million_km2,std_area_km2,cv_area_pct,area_p05_km2,area_p95_km2,area_iqr_km2,area_p95_p05_km2,longitude_mean_deg,longitude_median_deg,longitude_std_deg,longitude_p05_deg,longitude_p95_deg,longitude_iqr_deg,longitude_robust_amplitude_deg,longitude_full_range_deg,latitude_mean_deg,latitude_median_deg,latitude_std_deg,latitude_p05_deg,latitude_p95_deg,latitude_iqr_deg,latitude_robust_amplitude_deg,latitude_full_range_deg,radial_excursion_mean_km,radial_excursion_median_km,radial_excursion_p05_km,radial_excursion_p95_km,radial_excursion_max_km,mean_area_ratio_vs_28C,mean_area_pct_change_vs_28C,longitude_std_ratio_vs_28C,longitude_std_pct_change_vs_28C,longitude_robust_amplitude_ratio_vs_28C,longitude_robust_amplitude_pct_change_vs_28C,latitude_std_ratio_vs_28C,latitude_std_pct_change_vs_28C,latitude_robust_amplitude_ratio_vs_28C,latitude_robust_amplitude_pct_change_vs_28C,radial_excursion_p95_ratio_vs_28C,radial_excursion_p95_pct_change_vs_28C
28,16403,1981-09-01,2026-07-29,167.8320978,2.019889073,0.9836404832,37500653.4,37.5006534,37203446.2,37.2034462,7397112.002,19.72528831,25863992.41,50253268.82,10268050.14,24389276.42,167.8388506,167.3926117,8.115834802,155.5167035,182.0444225,10.82058604,26.52771899,52.55935701,2.000074891,1.888150227,6.512360353,-7.385978094,11.49523042,12.49819169,18.88120851,24.536484,1054.031924,1018.263352,333.0719269,1842.645255,3848.409284,1,0,1,0,1,0,1,0,1,0,1,0
28.5,16403,1981-09-01,2026-07-29,162.9812324,1.536551344,0.9809086954,28030811.25,28.03081125,27550215.21,27.55021521,7111602.335,25.37066185,17376946.39,40762345.74,9340901.869,23385399.35,162.9947488,162.6641852,8.934935109,149.2579291,178.7244788,11.76458138,29.46654969,58.02408978,1.518650374,1.542228575,6.838963833,-8.186955724,11.59104246,13.09204669,19.77799819,26.96191154,1128.573004,1076.93972,349.8384679,2044.591863,4179.89829,0.7474752758,-25.25247242,1.100926193,10.09261927,1.110783393,11.07833925,1.050151322,5.015132186,1.047496413,4.74964127,1.109596032,10.95960318
29,16403,1981-09-01,2026-07-29,158.7592261,1.083571183,0.9773173058,18546714.25,18.54671425,17739104.43,17.73910443,6494516.032,35.01707065,9399511.136,30336514.12,8985448.194,20937002.98,158.781275,158.0467206,9.976397919,143.4829732,176.0786119,13.35409009,32.59563872,73.06534909,1.06939906,0.975925509,7.159615963,-8.750320481,11.8727587,13.54097503,20.62307918,32.08333611,1221.933886,1141.981227,384.9227175,2279.514229,5364.487154,0.4945704292,-50.54295708,1.229250984,22.92509844,1.228738843,22.87388425,1.099388789,9.938878915,1.092254194,9.225419355,1.237087944,23.70879437
