threshold_c,n_days,start_date,end_date,component_count_median,largest_fraction_mean,largest_fraction_median,largest_fraction_p05,largest_fraction_p25,largest_fraction_p75,largest_fraction_p95,centroid_distance_km_mean,centroid_distance_km_median,centroid_distance_km_p75,centroid_distance_km_p95,centroid_distance_km_p99,centroid_distance_km_max,pct_days_largest_fraction_lt_90,pct_days_largest_fraction_lt_75,pct_days_largest_fraction_lt_50,pct_days_centroid_distance_gt_0250_km,pct_days_centroid_distance_gt_0500_km,pct_days_centroid_distance_gt_1000_km
28.00000000,16403,1981-09-01,2026-07-29,40.00000000,0.92350359,0.92947723,0.83478738,0.88747257,0.96383946,0.99708537,492.98485010,414.94317675,750.09752028,1267.50029135,1544.60247619,3243.28757615,31.64055356,0.89617753,0.01219289,67.48765470,41.97402914,13.52801317
28.50000000,16403,1981-09-01,2026-07-29,49.00000000,0.88074628,0.90299669,0.68878375,0.85398213,0.94100872,0.98252820,579.68574853,472.81125231,786.79262954,1387.31046635,2426.03687430,6527.43844707,47.93635311,8.48625251,0.95714199,74.00475523,47.49131256,15.33865756
29.00000000,16403,1981-09-01,2026-07-29,60.00000000,0.77248960,0.84039657,0.38983655,0.67007725,0.91394363,0.96473627,783.07848857,519.91747620,972.79124684,2441.69663343,4299.81493125,10613.75747704,69.35316710,34.38395415,11.83320124,75.15698348,51.61250991,24.00170700
